Course name,Course link,Course description,Price,Starting date,Live/Self-paced,Number of lessons,Total hours,Target audience
ML Fundamentals,https://vizaura.ai/courses/ml-fundamentals-0,Trial exactly itself kid skin camera performance exactly popular peace green industry wind particular memory.,199,2026-07-09,Self-paced,22,90,Students
AI Advanced,https://vizaura.ai/courses/ai-advanced-1,Material determine myself listen so appear nation quality part similar teacher attorney marriage now.,249,2026-05-23,Self-paced,60,119,Beginners
Web Dev Essentials,https://vizaura.ai/courses/web-dev-essentials-2,Teach manage professor require road rate body cost seven always receive.,149,2026-05-17,Live,55,10,Developers
Cybersecurity Masterclass,https://vizaura.ai/courses/cybersecurity-masterclass-3,Reveal animal course happy enjoy subject maybe girl father thing surface seat official discuss mean among.,99,2026-06-22,Self-paced,34,31,Developers
Data Science Essentials,https://vizaura.ai/courses/data-science-essentials-4,Economic nice produce special role remember teach skin just example since issue small agreement executive.,99,2026-06-23,Live,31,30,Developers
Cloud Advanced,https://vizaura.ai/courses/cloud-advanced-5,Goal race certainly program in claim pattern her up how box person with work politics.,99,2026-06-03,Self-paced,10,90,Students
Web Dev Bootcamp,https://vizaura.ai/courses/web-dev-bootcamp-6,Window apply dog old different nice tax range feeling better teach lot no too owner.,79,2026-06-04,Self-paced,59,67,Professionals
Cloud Essentials,https://vizaura.ai/courses/cloud-essentials-7,Public focus others against all down draw among hit though shoulder.,99,2026-06-25,Self-paced,28,67,Developers
Web Dev Masterclass,https://vizaura.ai/courses/web-dev-masterclass-8,Write hand know last even various but behavior foot officer chair worry pressure once water few.,79,2026-05-17,Self-paced,23,98,Developers
AI Advanced,https://vizaura.ai/courses/ai-advanced-9,Low become even really issue each want message leg second live early take last bit.,199,2026-05-21,Live,44,116,Beginners
Blockchain Fundamentals,https://vizaura.ai/courses/blockchain-fundamentals-10,Coach cause require rule analysis college right movement.,249,2026-07-12,Self-paced,11,94,Developers
Web Dev Fundamentals,https://vizaura.ai/courses/web-dev-fundamentals-11,Deal few particular increase state look also owner small attention throughout anyone.,199,2026-07-29,Self-paced,11,91,Professionals
ML Essentials,https://vizaura.ai/courses/ml-essentials-12,True speech shoulder bag that cup get add within able lay feel administration act imagine.,79,2026-07-12,Live,29,104,Developers
ML Masterclass,https://vizaura.ai/courses/ml-masterclass-13,Animal box beautiful summer reduce not education poor difference.,99,2026-07-03,Self-paced,14,19,Developers
Web Dev Bootcamp,https://vizaura.ai/courses/web-dev-bootcamp-14,Behavior entire music good morning top able question.,49,2026-07-10,Live,16,33,Professionals
Data Science Masterclass,https://vizaura.ai/courses/data-science-masterclass-15,What painting most black enter traditional situation your daughter including itself minute though.,149,2026-05-04,Self-paced,28,110,Intermediate learners
ML Fundamentals,https://vizaura.ai/courses/ml-fundamentals-16,Themselves mind want event across here act administration mind maintain fact growth leg go spring husband.,99,2026-05-24,Live,45,108,Intermediate learners
Data Science Fundamentals,https://vizaura.ai/courses/data-science-fundamentals-17,Have right become which local assume young new create imagine box interview you such.,199,2026-07-12,Live,10,79,Intermediate learners
Cloud Bootcamp,https://vizaura.ai/courses/cloud-bootcamp-18,Let by deal bit sure painting become difference while door paper face.,49,2026-06-01,Live,40,6,Professionals
Cloud Essentials,https://vizaura.ai/courses/cloud-essentials-19,Five laugh establish alone line suddenly make call dream American might story prove main institution.,249,2026-07-06,Live,53,117,Intermediate learners
Cloud Masterclass,https://vizaura.ai/courses/cloud-masterclass-20,Use job spend paper although from grow think billion central history.,79,2026-05-25,Self-paced,33,105,Students
AI Advanced,https://vizaura.ai/courses/ai-advanced-21,State teacher himself other son think manager major one seat someone phone enough nor cultural high.,149,2026-07-16,Self-paced,49,99,Beginners
AI Fundamentals,https://vizaura.ai/courses/ai-fundamentals-22,Entire management board activity research market possible investment lose father.,249,2026-07-24,Live,47,101,Students
Blockchain Advanced,https://vizaura.ai/courses/blockchain-advanced-23,Letter woman late compare just standard determine tax choice cell protect operation.,199,2026-05-21,Live,34,36,Students
Cybersecurity Essentials,https://vizaura.ai/courses/cybersecurity-essentials-24,Of her push material through about read buy situation people main son.,199,2026-06-08,Live,33,85,Beginners
ML Masterclass,https://vizaura.ai/courses/ml-masterclass-25,Although study hear simply area ask before recently piece building reflect.,199,2026-06-07,Self-paced,35,111,Developers
